"","Package","Built"
"1","abind","3.4.0"
"2","acepack","3.4.0"
"3","akima","3.4.0"
"4","AnalyzeFMRI","3.4.1"
"5","animation","3.4.3"
"6","aplpack","3.4.0"
"7","arm","3.4.0"
"8","assertthat","3.4.0"
"9","backports","3.4.3"
"10","base64","3.4.0"
"11","base64enc","3.4.0"
"12","BH","3.4.1"
"13","bindr","3.4.0"
"14","bindrcpp","3.4.1"
"15","bitops","3.4.0"
"16","brew","3.4.0"
"17","broom","3.4.2"
"18","callr","3.4.2"
"19","car","3.4.3"
"20","carData","3.4.1"
"21","caTools","3.4.1"
"22","cellranger","3.4.0"
"23","checkmate","3.4.2"
"24","cli","3.4.2"
"25","clipr","3.4.2"
"26","clisymbols","3.4.3"
"27","coda","3.4.0"
"28","colorspace","3.4.1"
"29","crayon","3.4.2"
"30","crosstalk","3.4.3"
"31","curl","3.4.3"
"32","DAAG","3.4.0"
"33","DAAGxtras","3.4.0"
"34","data.table","3.4.2"
"35","DBI","3.4.1"
"36","dbplyr","3.4.3"
"37","debugme","3.4.3"
"38","desc","3.4.3"
"39","devtools","3.4.3"
"40","DiagrammeR","3.4.2"
"41","dichromat","3.4.0"
"42","digest","3.4.3"
"43","doParallel","3.4.2"
"44","downloader","3.4.2"
"45","dplyr","3.4.2"
"46","dtplyr","3.4.0"
"47","dygraphs","3.4.0"
"48","e1071","3.4.0"
"49","effects","3.4.2"
"50","enc","3.4.3"
"51","evaluate","3.4.1"
"52","fastICA","3.4.1"
"53","fasttime","3.4.0"
"54","forcats","3.4.2"
"55","foreach","3.4.3"
"56","formatR","3.4.0"
"57","Formula","3.4.1"
"58","fs","3.4.3"
"59","gamair","3.4.2"
"60","gapminder","3.4.3"
"61","gdtools","3.4.3"
"62","geometry","3.4.1"
"63","gganimate","3.4.3"
"64","ggiraph","3.4.3"
"65","ggmap","3.4.0"
"66","ggplot2","3.4.2"
"67","gh","3.4.3"
"68","git2r","3.4.3"
"69","glue","3.4.2"
"70","gmp","3.4.0"
"71","gridBase","3.4.0"
"72","gridExtra","3.4.2"
"73","gtable","3.4.0"
"74","haven","3.4.3"
"75","here","3.4.3"
"76","highr","3.4.0"
"77","Hmisc","3.4.3"
"78","hms","3.4.3"
"79","htmlTable","3.4.3"
"80","htmltools","3.4.0"
"81","htmlwidgets","3.4.3"
"82","httpuv","3.4.1"
"83","httr","3.4.2"
"84","igraph","3.4.2"
"85","influenceR","3.4.0"
"86","ini","3.4.3"
"87","installr","3.4.0"
"88","irlba","3.4.3"
"89","ISwR","3.4.0"
"90","iterators","3.4.3"
"91","jsonlite","3.4.1"
"92","knitr","3.4.3"
"93","labeling","3.4.0"
"94","Lahman","3.4.3"
"95","latticeExtra","3.4.0"
"96","lazyeval","3.4.2"
"97","leaps","3.4.0"
"98","lmtest","3.4.0"
"99","lubridate","3.4.2"
"100","magic","3.4.3"
"101","magrittr","3.4.0"
"102","mailR","3.4.0"
"103","maps","3.4.3"
"104","markdown","3.4.0"
"105","matrixcalc","3.4.0"
"106","MatrixModels","3.4.0"
"107","memoise","3.4.3"
"108","mi","3.4.0"
"109","microbenchmark","3.4.3"
"110","mime","3.4.0"
"111","minqa","3.4.0"
"112","misc3d","3.4.1"
"113","mnormt","3.4.1"
"114","modelr","3.4.2"
"115","multcomp","3.4.2"
"116","munsell","3.4.0"
"117","mvtnorm","3.4.3"
"118","nloptr","3.4.0"
"119","NMF","3.4.0"
"120","nortest","3.4.0"
"121","numbers","3.4.0"
"122","nycflights13","3.4.3"
"123","officer","3.4.3"
"124","openssl","3.4.2"
"125","packrat","3.4.0"
"126","pbkrtest","3.4.0"
"127","pillar","3.4.3"
"128","pkgconfig","3.4.0"
"129","pkgmaker","3.4.0"
"130","PKI","3.4.1"
"131","plogr","3.4.0"
"132","plot3D","3.4.2"
"133","plyr","3.4.1"
"134","praise","3.4.3"
"135","proto","3.4.0"
"136","psych","3.4.2"
"137","purrr","3.4.2"
"138","quadprog","3.4.0"
"139","quantmod","3.4.3"
"140","quantreg","3.4.2"
"141","R.matlab","3.4.1"
"142","R.methodsS3","3.4.0"
"143","R.oo","3.4.0"
"144","R.utils","3.4.2"
"145","R6","3.4.1"
"146","RcmdrMisc","3.4.3"
"147","RColorBrewer","3.4.0"
"148","Rcpp","3.4.3"
"149","RcppEigen","3.4.2"
"150","readr","3.4.0"
"151","readstata13","3.4.2"
"152","readxl","3.4.1"
"153","registry","3.4.3"
"154","relimp","3.4.0"
"155","rematch","3.4.0"
"156","rematch2","3.4.3"
"157","reprex","3.4.3"
"158","reshape2","3.4.3"
"159","rgexf","3.4.0"
"160","rgl","3.4.3"
"161","rglwidget","3.4.0"
"162","RgoogleMaps","3.4.0"
"163","rJava","3.4.2"
"164","RJSONIO","3.4.0"
"165","rlang","3.4.3"
"166","rmarkdown","3.4.2"
"167","Rmpfr","3.4.3"
"168","rngtools","3.4.0"
"169","Rook","3.4.0"
"170","rprojroot","3.4.3"
"171","rsconnect","3.4.2"
"172","rstudioapi","3.4.2"
"173","rvest","3.4.2"
"174","rvg","3.4.3"
"175","sandwich","3.4.2"
"176","scales","3.4.2"
"177","selectr","3.4.2"
"178","sem","3.4.0"
"179","shiny","3.4.2"
"180","sourcetools","3.4.0"
"181","SparseM","3.4.0"
"182","stringi","3.4.2"
"183","stringr","3.4.0"
"184","styler","3.4.3"
"185","survey","3.4.3"
"186","tcltk2","3.4.0"
"187","testthat","3.4.3"
"188","TH.data","3.4.0"
"189","tibble","3.4.3"
"190","tidyr","3.4.2"
"191","tidyselect","3.4.2"
"192","tidyverse","3.4.2"
"193","tseries","3.4.1"
"194","TTR","3.4.3"
"195","usethis","3.4.3"
"196","utf8","3.4.3"
"197","uuid","3.4.1"
"198","viridis","3.4.3"
"199","viridisLite","3.4.0"
"200","visNetwork","3.4.3"
"201","whisker","3.4.2"
"202","withr","3.4.3"
"203","XML","3.4.0"
"204","xml2","3.4.3"
"205","xtable","3.4.0"
"206","xts","3.4.3"
"207","yaml","3.4.3"
"208","zip","3.4.3"
"209","zoo","3.4.3"
